INDEX,DESCRIPTION,CATEGORY
1,I realized he took pictures of me,Taking pictures/ Distributing pictures
2,He pays for having intimate pictures of several classmates,Taking pictures/ Distributing pictures
3,"He distributed intimate pictures of me, he is also known for sharing packs",Taking pictures/ Distributing pictures
4,"All the time he insisted on having sexual realtions and the day I raised my voice, he insulted and gaslighted me ",Sexual Invites
5,I had a relationship with this person and when he was angry he would force me into having sex to fix things when I didn´t wanted to.,Rape / Sexual Assault
6,There was not a day in which I did not have bruises because of him. He used to beat and insult me.,Commenting
7,"This teacher looked at me in a dirty way, he used to look at my legs, and one time he yelled me in class in front of the whole group for asking a question",Ogling/Facial Expressions/Staring
8,"On a fieldtrip, this teacher asked me to sat on his knees and gave me dirty looks in front of all my teammates. ",Ogling/Facial Expressions/Staring
9,"He is and administrative that used to make unnecessary comments regarding my appearance. Once he hugged and tried to kissed me by force, when I rejected him, he justified by suggesting I had given him an entry.",Touching /Groping
10,"All the semesters, this teacher would look at women in a dirty way and spend his time doing sexual comments",Commenting
11,"This teacher kept looking at me in a dirty way. Me and my friends fail his subject, so he called me into his office and tried to bribe me to pass the subject in exchange of having sex with him.",Sexual Invites
12,"He spread a pornographic video saying it was mine, which was a lie. ",Taking pictures/ Distributing pictures
13,He was a taekwando teacher at school and one day he kissed me when I was a minor. He manipulated me into having sex with him. ,Touching /Groping
14,"This teacher would look at me in a dirty way, make innapropiate comments about how well my clothes fitted on my body, asked me about my sex life and even take pictures of me",Taking pictures/ Distributing pictures
15,We where on a relationship and he forced me to have sex with him when I was urging him not to,Rape / Sexual Assault
16,This teacher maked inappropiate comments about my appearance. He once put his hand on my leg.,Touching /Groping
17,He got me drunk with a strange drink that I was refusing to drink. I went to bed and he followed me and began to kiss me and touch my body against my will. ,Rape / Sexual Assault
18,He is a very violent man who harasses his female classmates and intimidates them with his brute force and commentaries,Commenting
19,"After a couple of beers he tried to rape me, he managed to grope me and kiss me while I pushed and kicked him",Rape / Sexual Assault
20,Harrasses women with dirty looks and innapropiate comments,Commenting
21,"He threw me on the bed, got on top of me and took my shirt off, kissing me forcibly. He tried to take off my pants but he couldn´t. He forced me to do oral sex to him. ",Rape / Sexual Assault
22,"We had a relationship, we broke up and became friends. He invited me to a party where in reality was nobody but me and there he abused me",Rape / Sexual Assault
23,This teacher ridiculed my female classmates with misogynistic comments in front of the whole class telling them that they didn´t need so much makeup if they were already pretty. He said that women only wear makeup to impress men and that red lipstick is an invitation to have sex because it represents the labia,Commenting
24,This teacher always made misogynistic comments and looked at me lewd. He forced me into a hug and touched my chest. ,Touching /Groping
25,He took nudes of a classmate while they where having sex and then showed them to everyone at school,Taking pictures/ Distributing pictures
26,This teacher would hold my hand or tug my lab coat as a game. He spoke ill of all the female teachers of the department insulting and disqualifying them. One day he give me a goodbye kiss very close to my mouth forcibly,Touching /Groping
27,We had a relationship. One day while having sex the condom broke and I asked him to stop but he didn´t. ,Rape / Sexual Assault
28,We had a relationship in which he abused me physically and psychologically. He insulted me and humiliated me for the clothes I was wearing. He threatened me that if I broke up with him he would kidnap and rape me,Rape / Sexual Assault
29,"This teacher along with the assistant professor made inappropiate comments about my appearance, asked me out and the assistant caressed my back during an exam",Touching /Groping
30,This teacher always makes sexist and misogynistic comments in class in addition to making sexual invitations to women in order to pass his subject,Sexual Invites
31,"This teacher always made uncomfortable comments about the women in the class. If anyone wore shorts or skirt, he would comment on her legs and pass them in front of the class",Commenting
32,This teacher harrased me and another classmate. He failed me on his subject and told me that we could negotiate my grade and offered to drive me to the nearest subway station. In the car he tried to kiss me but I rejected him,Touching /Groping
33,"He got drunk at a party and abused me, it took me a lot of work to get rid of him. He shares intimate pictures of classmates and even teachers",Rape / Sexual Assault
34,He collects packs of girls and share them with everyone at school. He makes up that he had sex with many girls to humilliate them,Taking pictures/ Distributing pictures
35,He stole pictures from my cellphone and spread the rumor that we had sex,Taking pictures/ Distributing pictures
36,This teacher touched me a lot and invited me to have sex with him,Sexual Invites
37,This classmate insists a lot that I sent him pictures of my feet,Taking pictures/ Distributing pictures
38,"He followed me a lot at school and one day he asked me for pictures of my feet, to which I refused. Whenever I had open shoes he would look at my feet and legs in a dirty way",Stalking
39,"At a party I was very drunk and I decided to go to a room to rest and he followed me to help me, he lay down next to me and abused me",Rape / Sexual Assault
40,"I invited him to my house to hang out and we started having sex. I asked him to stop over and over again but he didn´t, he placed himself on me and abused me",Rape / Sexual Assault
41,He takes advantage on women to acquire intimate pictures and seeks to make pornography,Taking pictures/ Distributing pictures
42,He sexually assaulted me and I got a sexually transmitted infection,Rape / Sexual Assault
43,He drugged and sexually abused me. He also distributed drugs at school and abused other girls by drugging them,Rape / Sexual Assault
44,This detist and graduate student harasses female students with sexual comments during medical service appointments,Commenting
45,This classmate followed you and looked always for a way to get closer even tough you avoid him. He sent you a thousand messages and always invited you to his apartment,Stalking
46,"He harrased and followed many classmates at the same time, used foul language and sent his photos half naked",Stalking
47,This teacher always took pictures of us at presentations and looked at us in a dirty way. He often took pictures of us from behind or of our legs or breasts. In all classes he makes macho and double-meaning comments,Taking pictures/ Distributing pictures
48,This teacher wanted to hug me all the time and greet me with a very disgusting kiss on the cheek. He started sending a lot of insistent messages on facebook until I blocked him,Stalking
49,This teacher uses inappropiate stickers in messages when adressing female students,Commenting
50,This guy send pictures of his penis to his female classmates and when they reject him he insults them with mysogynistic phrases,Taking pictures/ Distributing pictures
51,On one occasion this teacher asked me to go on a trip with him,Commenting
52,"This teacher sexually harasses all of his female students, has taken women to private meetings and makes inappropiate comments to them. During an exam he told me that I didn´t know and that he wanted to spank me",Commenting
53,I was in a relationship with him in which he manipulated and sexually abused me by masturbating me in public without my consent. He lift my clothes to show my underwear in front of his friends and he pressured me to have sex,Rape / Sexual Assault
54,"Once I was wearing a dress and this teacher stared at me. Later during class he said that it was normal to stare at female classmates if they were hot and he pointed to me, saying that that dress looked very good and they could not deny it. And on another occasion, talking about conservation he said that as a man he would choose me as his mate because I had a very big butt",Commenting
55,"He sexually abused me, harrased classmates and got women drunk to take advantage of them",Rape / Sexual Assault
