INDEX,DESCRIPTION,CATEGORY
1,My school auto driver always use to stare at me or try to talk to me whenever I alone in auto. He also tries to touch me. I complained it to my mother but she didn't listen to my problems,"Touching /Groping, "
2,I was in market with my mom. There I saw a man was sitting beside a shop and he was continuously staring a girl. After sometime he started whistling at her.,"Catcalls/Whistles, "
3,there is a girl whom boys have been writing a letter to her and putting in her bag,"Sexual Invites, "
4,there is  a girl who is being disturbed y a boy in the school,"Sexual Invites, "
5,there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him,"Sexual Invites, "
6,there is a teacher who likes touching a girl on the breast,"Sexual Invites, "
7,guy just started following me,"Stalking, "
8,A girl is asking if a boy comes to your house so that they can do assignment together,"Sexual Invites, "
9,"There is a girl who is being forced by a boy to love him but she is against it,he even threatens to kill her if she don,t do so","Sexual Invites, "
10,Was walking by the town library,"Catcalls/Whistles, "
11,In our school there is a male teacher who follows pupils and starts touching them,"Sexual Invites, "
12,"There is a girl who loves having sex and getting paid then she buys sweets for us but she wants to stop the habit ,what should she do?","Others, "
13,"I have a boyfriend who likes touching me every time have been sent to the shop and tells me to go to his place , I don't like what he is doing ,have tried to stop him but he refuses","Touching /Groping, "
14,There are boys who like disturbing me and touching my private parts,"Touching /Groping, "
15,I always feel shy when I pass past boys,"Commenting, "
16,If a boy insists in having sex with you what should you do?,"Others, "
17,There is a boy who tried to kiss me and i accepted,"Commenting, "
18,"There is a girl who is who is being disturbed by a boy who and he even wants to touch her private parts, she is only twelve years and he even call her his wife","Sexual Invites, "
19,There is a boy who is disturbing me,"Commenting, "
20,Is it healthy to have sex while still in your menstrual cycle?,"Commenting, "
21,"There was a girl who went to study at her friends house ,the friend went out to buy food then a man who pretended to be the headteachers brother and then she raped her ,the girl told the neighbors who helped the girl by taking her to hospital","Rape / Sexual Assault, "
22,everyday when a girl has been sent to the shop she is being disturbs y a man,"Sexual Invites, "
23,there is a man who like following following a girl and she is afraid of telling her parents,"Sexual Invites, "
24,"I have a friend who was raped and she now has a child ,she needs advice","Rape / Sexual Assault, "
25,a girl was sent    to shop and met a man on her way who wanted to rape her and screamed for help as she was running,"Sexual Invites, North East India Report, "
26,If a boy hugs you inappropriately what should you do?,"Commenting, "
27,There is a boy who likes disturbing me and I dont know what to do,"Commenting, "
28,If your neighbor who is a man calls you and asks you to go and buy for him something and when you come back he forces you to sleep with him what should you do?,"Sexual Invites, Rape / Sexual Assault, "
29,a boy is following a girl in  the same school,"Sexual Invites, "
30,There is a boy who likes disturbing me when am on the road and he throws stones at me when I refuse,"Catcalls/Whistles, Stalking, "
31,There was one of my friend who meta man that forced her to have sex with him .He told my friend that if she refuses he will kill her .,"Rape / Sexual Assault, "
32,"If a boy comes and asks you if you can be his girlfriend why do you always keep him in your mind and even if you don't see him after a long time i still think of him ,what should i do?","Others, "
33,My cousin was raped 1 year ago and there is a boy who disturbs me and i don't know what to do and i even fear walking in front of boys,"Sexual Invites, "
34,"If your periods take long time to appear what might be wrong, If a boy is disturbing you and you have refused and he still follows you what do you do and if a boy tells you to have sex with him and he pays you what should you do ?","Commenting, "
35,a girl is complaining that she is being disturbed by a boy,"Sexual Invites, "
36,If you were walking at home and a boy comes and catches your buttocks and breast is there any problem ?,"Touching /Groping, "
37,What can you do when a boy tells you he wants you?,"Commenting, "
38,"there is  a boy who disturbs a certain girl in school and even follows him when she goes to the toilet,she is afraid of telling her parents and she is requesting for help","Sexual Invites, "
39,There is a boy who likes to follow me and I don't know what to do,"Stalking, "
40,"I have a friend who is pregnant and she is 12 years , her parents and friends are sayind she should abort ,what should i DO AS FRIEND","Commenting, "
41,there is a  boy who likes disturbing a girl and even follows her everywhere she goes,"Sexual Invites, "
42,What can a girl do when she feels like having sex and she does not want to break her virginity,"Others, "
43,What if your boyfriend wants a kiss,"Others, "
44,"I have a boyfriend and is disturbing really disturbing ,what can I do ?","Others, "
45,"If a boy tells you that he loves you and he really means it , and you  do't love him and if you tell him so and he refuses to here you what do you do?","Others, "
46,there is a boy  who follows a girl when she is from school and even if the girl runs he follows her,"Sexual Invites, "
47,there is a boy ho loves a girl and the girl does not love him and she is asking what should she do?,"Sexual Invites, "
48,I saw a friend of mine being touched by a boy .Please help her .Sheila,"Commenting, "
49,There is an uncle who touched my private parts  and there is a day he greeted me and I refused but I felt like I disrespected him.,"Others, "
50,If you have sex will you get HIV and AIDS,"Others, "
51,If a boy buys you school staffs should you accept or refuse?,"Others, "
52,If you love somebody in your class should you tell him or not?,"Commenting, "
53,"There is a girl who wants his brother to be my boyfriend ,they are even calling me in-law and there are some boys who want to touch the girls in their private parts","Sexual Invites, "
54,there is a boy who like disturbing a girl and her friends and they do not know what  he is after,"Sexual Invites, "
55,"If someone tells you that he loves you and is ready to wait till you finiosh school and will never force you to do anything you don't want ,is it bad?","Commenting, "
56,Is condom 100% protective and if you have sex when you are experiencing your monthly period will you get pregnant?,"Commenting, "
57,"there is a man who is forcing a a girl to love him and she do not want and even threatens to kill her with an axe, panga or knife if she don,t do so","Sexual Invites, "
58,My  friend in class four is saying that there is a boy in class six who loves her and follows her every time,"Sexual Invites, "
59,there is a girl who is in love with boy but the boy does not know,"Sexual Invites, "
60,"prefects two are in love in the same class and they make a lot of  noise when in class ,they even go to the toilet together","Indecent exposure, Sexual Invites, "
61,There is a boy who likes calling me and there is a teacher who has the habit of touching girls,"Sexual Invites, "
62,a boy in class seven is calling a girl his sweet baby,"Catcalls/Whistles, Sexual Invites, "
63,"a girl was in a relationship with a boy,and they break up due to how people are talking about there relationships then,the boy started bullying the girl even threatening her but she still love the boy","Sexual Invites, "
64,there is a boy who is disturbing a girl in the same class,"Sexual Invites, "
65,a girl is complaining that they are being caned on the buttocks thoroughly by one of the teachers,"Sexual Invites, "
66,My sister and I was going to eat golgappa and a boy was commenting and intentionally bumping into my cousin.,"Commenting, Stalking, Touching /Groping, "
